id,video_date,score,name
1,2014,11,The Low End Theory
2,2021,11,Journey in Satchidananda
3,2018,11,Selected Ambient Works 85–92
4,2026,11,Black Sabbath
5,2023,11,E. 1999 Eternal
6,2019,11,Untrue
7,2019,11,The Cold Vein
8,2017,11,Trout Mask Replica
9,2020,11,Hell Hath No Fury
10,2022,11,Heaven or Las Vegas
11,2020,11,Jane Doe
12,2026,11,None So Vile
13,2026,11,Voodoo
14,2016,11,The Rise and Fall of Ziggy Stardust and the Spiders From Mars
15,2013,11,Plastic Surgery Disasters
16,2016,11,Endtroducing.....
17,2023,11,Jolene
18,2024,11,Earth 2: Special Low Frequency Version
19,2022,11,Elliott Smith
20,2017,11,In the Nightside Eclipse
21,2024,11,When the Pawn...
22,2014,11,Repeater
23,2024,11,Maggot Brain
24,2024,11,Demon Days
25,2024,11,Head Hunters
26,2015,11,The Number of the Beast
27,2020,11,The Velvet Rope
28,2025,11,Ys
29,2013,11,At Folsom Prison
30,2024,11,Blue
31,2014,11,Unknown Pleasures
32,2026,11,†
33,2013,11,In the Court of the Crimson King
34,2014,11,Trans Europe Express
35,2021,11,Arular
36,2026,11,Ray of Light
37,2025,11,Mezzanine
38,2018,11,Thriller
39,2025,11,The Infamous
40,2025,11,Altars of Madness
41,2013,11,Loveless
42,2020,11,The Black Parade
43,2015,11,Straight Outta Compton
44,2016,11,Illmatic
45,2014,11,Pastel Blues
46,2021,11,The Downward Spiral
47,2016,11,In Utero
48,2026,11,Os Mutantes
49,2017,11,ATLiens
50,2016,11,Horses
51,2026,11,RAM
52,2021,11,Dummy
53,2025,11,Frizzle Fry
54,2016,11,Kid A
55,2015,11,I Talk With the Spirits
56,2023,11,Diamond Life
57,2019,11,The Woods
58,2015,11,Spiderland
59,2022,11,Songs in the Key of Life
60,2024,11,Soundtracks for the Blind
61,2020,11,Laughing Stock
62,2015,11,Phaedra
63,2023,11,Since I Left You
64,2025,11,Sunflower
65,2022,11,Electric Ladyland
66,2025,11,69 Love Songs
67,2016,11,the Glow pt. 2
68,2019,11,Give Up
69,2021,11,Things Fall Apart
70,2023,11,The Queen Is Dead
71,2013,11,The Velvet Underground & Nico
72,2025,11,Who’s Next
73,2024,11,Lincoln
74,2017,11,Rain Dogs
75,2024,11,Flockaveli
76,2018,11,Chocolate and Cheese
77,2022,11,Solid State Survivor
78,2016,11,Close to the Edge
79,2022,10,Vespertine
80,2015,10,Highway 61 Revisited
81,2022,10,The Black Saint and the Sinner Lady
82,2024,10,BRAT
83,2025,10,Let God Sort Em Out
84,2018,10,Discovery
85,2018,10,You Won’t Get What You Want
86,2012,10,The Money Store
87,2022,10,Violator
88,2011,10,Hot Rats
